Názov obce;Názov okresu;Názov kraja
Gôtovany;Okres Liptovský Mikuláš;Žilinský
Granč-Petrovce;Okres Levoča;Prešovský
Gregorova Vieska;Okres Lučenec;Banskobystrický
Gregorovce;Okres Prešov;Prešovský
Gribov;Okres Stropkov;Prešovský
Gruzovce;Okres Humenné;Prešovský
Gyňov;Okres Košice - okolie;Košický
Habovka;Okres Tvrdošín;Žilinský
Habura;Okres Medzilaborce;Prešovský
Hačava;Okres Košice - okolie;Košický
Háj, okres Košice - okolie;Okres Košice - okolie;Košický
Háj, okres Turčianske Teplice;Okres Turčianske Teplice;Žilinský
Hajná Nová Ves;Okres Topoľčany;Nitriansky
Hajnáčka;Okres Rimavská Sobota;Banskobystrický
Hájske;Okres Šaľa;Nitriansky
Hajtovka;Okres Stará Ľubovňa;Prešovský
Haláčovce;Okres Bánovce nad Bebravou;Trenčiansky
Halič;Okres Lučenec;Banskobystrický
Haligovce;Okres Stará Ľubovňa;Prešovský
Haluzice;Okres Nové Mesto nad Váhom;Trenčiansky
Hamuliakovo;Okres Senec;Bratislavský
Handlová;Okres Prievidza;Trenčiansky
Hanigovce;Okres Sabinov;Prešovský
Haniska, okres Košice - okolie;Okres Košice - okolie;Košický
Haniska, okres Prešov;Okres Prešov;Prešovský
Hanková;Okres Rožňava;Košický
Hankovce, okres Bardejov;Okres Bardejov;Prešovský
Hankovce, okres Humenné;Okres Humenné;Prešovský
Hanušovce nad Topľou;Okres Vranov nad Topľou;Prešovský
Harakovce;Okres Levoča;Prešovský
Harhaj;Okres Bardejov;Prešovský
Harichovce;Okres Spišská Nová Ves;Košický
Harmanec;Okres Banská Bystrica;Banskobystrický
Hatalov;Okres Michalovce;Košický
Hatné;Okres Považská Bystrica;Trenčiansky
Havaj;Okres Stropkov;Prešovský
Havka;Okres Kežmarok;Prešovský
Havranec;Okres Svidník;Prešovský
Hažín;Okres Michalovce;Košický
Hažín nad Cirochou;Okres Humenné;Prešovský
Hažlín;Okres Bardejov;Prešovský
Helcmanovce;Okres Gelnica;Košický
Heľpa;Okres Brezno;Banskobystrický
Henckovce;Okres Rožňava;Košický
Henclová;Okres Gelnica;Košický
Hencovce;Okres Vranov nad Topľou;Prešovský
Hendrichovce;Okres Prešov;Prešovský
Herľany;Okres Košice - okolie;Košický
Hermanovce;Okres Prešov;Prešovský
Hermanovce nad Topľou;Okres Vranov nad Topľou;Prešovský
Hertník;Okres Bardejov;Prešovský
Hervartov;Okres Bardejov;Prešovský
Hiadeľ;Okres Banská Bystrica;Banskobystrický
Hincovce;Okres Spišská Nová Ves;Košický
Hladovka;Okres Tvrdošín;Žilinský
Hlboké;Okres Senica;Trnavský
Hlboké nad Váhom;Okres Bytča;Žilinský
Hliník nad Hronom;Okres Žiar nad Hronom;Banskobystrický
Hlinné;Okres Vranov nad Topľou;Prešovský
Hlivištia;Okres Sobrance;Košický
Hlohovec;Okres Hlohovec;Trnavský
Hniezdne;Okres Stará Ľubovňa;Prešovský
Hnilčík;Okres Spišská Nová Ves;Košický
Hnilec;Okres Spišská Nová Ves;Košický
Hnojné;Okres Michalovce;Košický
Hnúšťa;Okres Rimavská Sobota;Banskobystrický
Hodejov;Okres Rimavská Sobota;Banskobystrický
Hodejovec;Okres Rimavská Sobota;Banskobystrický
Hodkovce;Okres Košice - okolie;Košický
Hodruša-Hámre;Okres Žarnovica;Banskobystrický
Hokovce;Okres Levice;Nitriansky
Holčíkovce;Okres Vranov nad Topľou;Prešovský
Holiare;Okres Komárno;Nitriansky
Holice;Okres Dunajská Streda;Trnavský
Holíč;Okres Skalica;Trnavský
Holiša;Okres Lučenec;Banskobystrický
Holumnica;Okres Kežmarok;Prešovský
Honce;Okres Rožňava;Košický
Hontianska Vrbica;Okres Levice;Nitriansky
Hontianske Moravce;Okres Krupina;Banskobystrický
Hontianske Nemce;Okres Krupina;Banskobystrický
Hontianske Tesáre;Okres Krupina;Banskobystrický
Hontianske Trsťany;Okres Levice;Nitriansky
Horňa;Okres Sobrance;Košický
Horná Breznica;Okres Púchov;Trenčiansky
Horná Kráľová;Okres Šaľa;Nitriansky
Horná Krupá;Okres Trnava;Trnavský
Horná Lehota, okres Brezno;Okres Brezno;Banskobystrický
Horná Lehota, okres Dolný Kubín;Okres Dolný Kubín;Žilinský
Horná Mariková;Okres Považská Bystrica;Trenčiansky
Horná Mičiná;Okres Banská Bystrica;Banskobystrický
Horná Poruba;Okres Ilava;Trenčiansky
Horná Potôň;Okres Dunajská Streda;Trnavský
Horná Seč;Okres Levice;Nitriansky
Horná Streda;Okres Nové Mesto nad Váhom;Trenčiansky
Horná Strehová;Okres Veľký Krtíš;Banskobystrický
Horná Súča;Okres Trenčín;Trenčiansky
Horná Štubňa;Okres Turčianske Teplice;Žilinský
Horná Ves, okres Prievidza;Okres Prievidza;Trenčiansky
Horná Ves, okres Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický
Horná Ždaňa;Okres Žiar nad Hronom;Banskobystrický
Horňany;Okres Trenčín;Trenčiansky
Horné Dubové;Okres Trnava;Trnavský
Horné Hámre;Okres Žarnovica;Banskobystrický
Horné Chlebany;Okres Topoľčany;Nitriansky
Horné Lefantovce;Okres Nitra;Nitriansky
Horné Mladonice;Okres Krupina;Banskobystrický
Horné Mýto;Okres Dunajská Streda;Trnavský
Horné Naštice;Okres Bánovce nad Bebravou;Trenčiansky
Horné Obdokovce;Okres Topoľčany;Nitriansky
Horné Orešany;Okres Trnava;Trnavský
Horné Otrokovce;Okres Hlohovec;Trnavský
Horné Plachtince;Okres Veľký Krtíš;Banskobystrický
Horné Pršany;Okres Banská Bystrica;Banskobystrický
Horné Saliby;Okres Galanta;Trnavský
Horné Semerovce;Okres Levice;Nitriansky
Horné Srnie;Okres Trenčín;Trenčiansky
Horné Strháre;Okres Veľký Krtíš;Banskobystrický
Horné Štitáre;Okres Topoľčany;Nitriansky
Horné Trhovište;Okres Hlohovec;Trnavský
Horné Turovce;Okres Levice;Nitriansky
Horné Vestenice;Okres Prievidza;Trenčiansky
Horné Zahorany;Okres Rimavská Sobota;Banskobystrický
Horné Zelenice;Okres Hlohovec;Trnavský
Horný Badín;Okres Krupina;Banskobystrický
Horný Bar;Okres Dunajská Streda;Trnavský
Horný Hričov;Okres Žilina;Žilinský
Horný Kalník;Okres Martin;Žilinský
Horný Lieskov;Okres Považská Bystrica;Trenčiansky
Horný Pial;Okres Levice;Nitriansky
Horný Tisovník;Okres Detva;Banskobystrický
Horný Vadičov;Okres Kysucké Nové Mesto;Žilinský
Horovce, okres Michalovce;Okres Michalovce;Košický
Horovce, okres Púchov;Okres Púchov;Trenčiansky
Hoste;Okres Galanta;Trnavský
Hostice;Okres Rimavská Sobota;Banskobystrický
Hostie;Okres Zlaté Moravce;Nitriansky
Hostišovce;Okres Rimavská Sobota;Banskobystrický
Hosťová;Okres Nitra;Nitriansky
Hosťovce, okres Košice - okolie;Okres Košice - okolie;Košický
Hosťovce, okres Zlaté Moravce;Okres Zlaté Moravce;Nitriansky
Hostovice;Okres Snina;Prešovský
Hozelec;Okres Poprad;Prešovský
Hôrka;Okres Poprad;Prešovský
Hôrka nad Váhom;Okres Nové Mesto nad Váhom;Trenčiansky
Hôrky;Okres Žilina;Žilinský
Hrabičov;Okres Žarnovica;Banskobystrický
Hrabkov;Okres Prešov;Prešovský
Hrabová Roztoka;Okres Snina;Prešovský
Hrabovčík;Okres Svidník;Prešovský
Hrabovec;Okres Bardejov;Prešovský
Hrabovec nad Laborcom;Okres Humenné;Prešovský
Hrabovka;Okres Trenčín;Trenčiansky
Hrabské;Okres Bardejov;Prešovský
Hrabušice;Okres Spišská Nová Ves;Košický
Hradisko;Okres Kežmarok;Prešovský
Hradište pod Vrátnom;Okres Senica;Trnavský
Hradište, okres Partizánske;Okres Partizánske;Trenčiansky
Hradište, okres Poltár;Okres Poltár;Banskobystrický
Hrádok;Okres Nové Mesto nad Váhom;Trenčiansky
Hrachovište;Okres Nové Mesto nad Váhom;Trenčiansky
Hrachovo;Okres Rimavská Sobota;Banskobystrický
Hraň;Okres Trebišov;Košický
Hraničné;Okres Stará Ľubovňa;Prešovský
Hranovnica;Okres Poprad;Prešovský
Hrašné;Okres Myjava;Trenčiansky
Hrašovík;Okres Košice - okolie;Košický
Hrčeľ;Okres Trebišov;Košický
Hrhov;Okres Rožňava;Košický
Hriadky;Okres Trebišov;Košický
Hričovské Podhradie;Okres Žilina;Žilinský
Hriňová;Okres Detva;Banskobystrický
Hrišovce;Okres Gelnica;Košický
Hrkovce;Okres Levice;Nitriansky
Hrlica;Okres Revúca;Banskobystrický
Hrnčiarovce nad Parnou;Okres Trnava;Trnavský
Hrnčiarska Ves;Okres Poltár;Banskobystrický
Hrnčiarske Zalužany;Okres Poltár;Banskobystrický
Hrochoť;Okres Banská Bystrica;Banskobystrický
Hromoš;Okres Stará Ľubovňa;Prešovský
Hronec;Okres Brezno;Banskobystrický
Hronovce;Okres Levice;Nitriansky
Hronsek;Okres Banská Bystrica;Banskobystrický
Hronská Breznica;Okres Zvolen;Banskobystrický
Hronská Dúbrava;Okres Žiar nad Hronom;Banskobystrický
Hronské Kľačany;Okres Levice;Nitriansky
Hronské Kosihy;Okres Levice;Nitriansky
Hronský Beňadik;Okres Žarnovica;Banskobystrický
Hrubá Borša;Okres Senec;Bratislavský
Hruboňovo;Okres Nitra;Nitriansky
Hrubov;Okres Humenné;Prešovský
Hrubý Šúr;Okres Senec;Bratislavský
Hrušov, okres Rožňava;Okres Rožňava;Košický
Hrušov, okres Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický
Hrušovany;Okres Topoľčany;Nitriansky
Hrušovo;Okres Rimavská Sobota;Banskobystrický
Hruštín;Okres Námestovo;Žilinský
Hubice;Okres Dunajská Streda;Trnavský
Hubina;Okres Piešťany;Trnavský
Hubošovce;Okres Sabinov;Prešovský
Hubová;Okres Ružomberok;Žilinský
Hubovo;Okres Rimavská Sobota;Banskobystrický
Hucín;Okres Revúca;Banskobystrický
Hudcovce;Okres Humenné;Prešovský
Hul;Okres Nové Zámky;Nitriansky
Humenné;Okres Humenné;Prešovský
Huncovce;Okres Kežmarok;Prešovský
Hunkovce;Okres Svidník;Prešovský
Hurbanova Ves;Okres Senec;Bratislavský
Hurbanovo;Okres Komárno;Nitriansky
Husák;Okres Sobrance;Košický
Husiná;Okres Rimavská Sobota;Banskobystrický
Hutka;Okres Bardejov;Prešovský
Huty;Okres Liptovský Mikuláš;Žilinský
Hviezdoslavov;Okres Dunajská Streda;Trnavský
Hvozdnica;Okres Bytča;Žilinský
Hybe;Okres Liptovský Mikuláš;Žilinský
Hýľov;Okres Košice - okolie;Košický
Chanava;Okres Rimavská Sobota;Banskobystrický
Chľaba;Okres Nové Zámky;Nitriansky
Chlebnice;Okres Dolný Kubín;Žilinský
Chlmec;Okres Humenné;Prešovský
Chmeľnica;Okres Stará Ľubovňa;Prešovský
Chmeľov;Okres Prešov;Prešovský
Chmeľová;Okres Bardejov;Prešovský
Chmeľovec;Okres Prešov;Prešovský
Chmiňany;Okres Prešov;Prešovský
Chminianska Nová Ves;Okres Prešov;Prešovský
Chminianske Jakubovany;Okres Prešov;Prešovský
Choča;Okres Zlaté Moravce;Nitriansky
Chocholná-Velčice;Okres Trenčín;Trenčiansky
Choňkovce;Okres Sobrance;Košický
Chorvátsky Grob;Okres Senec;Bratislavský
Chorváty;Okres Košice - okolie;Košický
Chotča;Okres Stropkov;Prešovský
Chotín;Okres Komárno;Nitriansky
Chrabrany;Okres Topoľčany;Nitriansky
Chrámec;Okres Rimavská Sobota;Banskobystrický
Chrasť nad Hornádom;Okres Spišská Nová Ves;Košický
Chrastince;Okres Veľký Krtíš;Banskobystrický
Chrastné;Okres Košice - okolie;Košický
Chrenovec-Brusno;Okres Prievidza;Trenčiansky
Chropov;Okres Skalica;Trnavský
Chrťany;Okres Veľký Krtíš;Banskobystrický
Chtelnica;Okres Piešťany;Trnavský
Chudá Lehota;Okres Bánovce nad Bebravou;Trenčiansky
Chvalová;Okres Revúca;Banskobystrický
Chvojnica, okres Myjava;Okres Myjava;Trenčiansky
Chvojnica, okres Prievidza;Okres Prievidza;Trenčiansky
Chynorany;Okres Partizánske;Trenčiansky
Chyžné;Okres Revúca;Banskobystrický
Igram;Okres Senec;Bratislavský
Ihľany;Okres Kežmarok;Prešovský
Ihráč;Okres Žiar nad Hronom;Banskobystrický
Ilava;Okres Ilava;Trenčiansky
Iliašovce;Okres Spišská Nová Ves;Košický
Ilija;Okres Banská Štiavnica;Banskobystrický
Imeľ;Okres Komárno;Nitriansky
Iňa;Okres Levice;Nitriansky
Iňačovce;Okres Michalovce;Košický
Inovce;Okres Sobrance;Košický
Ipeľské Predmostie;Okres Veľký Krtíš;Banskobystrický
Ipeľské Úľany;Okres Levice;Nitriansky
Ipeľský Sokolec;Okres Levice;Nitriansky
Istebné;Okres Dolný Kubín;Žilinský
Ivachnová;Okres Ružomberok;Žilinský
Ivančiná;Okres Turčianske Teplice;Žilinský
Ivanice;Okres Rimavská Sobota;Banskobystrický
Ivanka pri Dunaji;Okres Senec;Bratislavský
Ivanka pri Nitre;Okres Nitra;Nitriansky
Ivanovce;Okres Trenčín;Trenčiansky
Iža;Okres Komárno;Nitriansky
Ižipovce;Okres Liptovský Mikuláš;Žilinský
Ižkovce;Okres Michalovce;Košický
Jabloň;Okres Humenné;Prešovský
Jablonec;Okres Pezinok;Bratislavský
Jablonica;Okres Senica;Trnavský
Jablonka;Okres Myjava;Trenčiansky
Jablonov;Okres Levoča;Prešovský
Jablonov nad Turňou;Okres Rožňava;Košický
Jabloňovce;Okres Levice;Nitriansky
Jablonové, okres Bytča;Okres Bytča;Žilinský
Jablonové, okres Malacky;Okres Malacky;Bratislavský
Jacovce;Okres Topoľčany;Nitriansky
Jahodná;Okres Dunajská Streda;Trnavský
Jaklovce;Okres Gelnica;Košický
Jakovany;Okres Sabinov;Prešovský
Jakubany;Okres Stará Ľubovňa;Prešovský
Jakubov;Okres Malacky;Bratislavský
Jakubova Voľa;Okres Sabinov;Prešovský
Jakubovany, okres Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Jakubovany, okres Sabinov;Okres Sabinov;Prešovský
Jakušovce;Okres Stropkov;Prešovský
Jalová;Okres Snina;Prešovský
Jalovec, okres Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Jalovec, okres Prievidza;Okres Prievidza;Trenčiansky
Jalšové;Okres Hlohovec;Trnavský
Jalšovík;Okres Krupina;Banskobystrický
Jamník, okres Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Jamník, okres Spišská Nová Ves;Okres Spišská Nová Ves;Košický
Janice;Okres Rimavská Sobota;Banskobystrický
Janík;Okres Košice - okolie;Košický
Janíky;Okres Dunajská Streda;Trnavský
Jankovce;Okres Humenné;Prešovský
Janov;Okres Prešov;Prešovský
Janova Lehota;Okres Žiar nad Hronom;Banskobystrický
Janovce;Okres Bardejov;Prešovský
Jánovce, okres Galanta;Okres Galanta;Trnavský
Jánovce, okres Poprad;Okres Poprad;Prešovský
Janovík;Okres Prešov;Prešovský
Jarabá;Okres Brezno;Banskobystrický
Jarabina;Okres Stará Ľubovňa;Prešovský
Jarok;Okres Nitra;Nitriansky
Jarovnice;Okres Sabinov;Prešovský
Jasenica;Okres Považská Bystrica;Trenčiansky
Jasenie;Okres Brezno;Banskobystrický
Jasenov, okres Humenné;Okres Humenné;Prešovský
Jasenov, okres Sobrance;Okres Sobrance;Košický
Jasenová;Okres Dolný Kubín;Žilinský
Jasenovce;Okres Vranov nad Topľou;Prešovský
Jasenové;Okres Žilina;Žilinský
Jasenovo;Okres Turčianske Teplice;Žilinský
Jaslovské Bohunice;Okres Trnava;Trnavský
Jasov;Okres Košice - okolie;Košický
Jasová;Okres Nové Zámky;Nitriansky
Jastrabá;Okres Žiar nad Hronom;Banskobystrický
Jastrabie nad Topľou;Okres Vranov nad Topľou;Prešovský
Jastrabie pri Michalovciach;Okres Michalovce;Košický
Jatov;Okres Nové Zámky;Nitriansky
Jazernica;Okres Turčianske Teplice;Žilinský
Jedlinka;Okres Bardejov;Prešovský
Jedľové Kostoľany;Okres Zlaté Moravce;Nitriansky
Jelenec;Okres Nitra;Nitriansky
Jelka;Okres Galanta;Trnavský
Jelšava;Okres Revúca;Banskobystrický
Jelšovce;Okres Nitra;Nitriansky
Jelšovec;Okres Lučenec;Banskobystrický
Jenkovce;Okres Sobrance;Košický
Jesenské, okres Levice;Okres Levice;Nitriansky
Jesenské, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Jestice;Okres Rimavská Sobota;Banskobystrický
Ješkova Ves;Okres Partizánske;Trenčiansky
Jezersko;Okres Kežmarok;Prešovský
Jovice;Okres Rožňava;Košický
Jovsa;Okres Michalovce;Košický
Jur nad Hronom;Okres Levice;Nitriansky
Jurkova Voľa;Okres Svidník;Prešovský
Jurová;Okres Dunajská Streda;Trnavský
Jurské;Okres Kežmarok;Prešovský
Juskova Voľa;Okres Vranov nad Topľou;Prešovský
Kačanov;Okres Michalovce;Košický
Kajal;Okres Galanta;Trnavský
Kaľamenová;Okres Turčianske Teplice;Žilinský
Kalameny;Okres Ružomberok;Žilinský
Kaľava;Okres Spišská Nová Ves;Košický
Kalinkovo;Okres Senec;Bratislavský
Kalinov;Okres Medzilaborce;Prešovský
Kalinovo;Okres Poltár;Banskobystrický
Kalná nad Hronom;Okres Levice;Nitriansky
Kalná Roztoka;Okres Snina;Prešovský
Kálnica;Okres Nové Mesto nad Váhom;Trenčiansky
Kalnište;Okres Svidník;Prešovský
Kalonda;Okres Lučenec;Banskobystrický
Kaloša;Okres Rimavská Sobota;Banskobystrický
Kalša;Okres Košice - okolie;Košický
Kaluža;Okres Michalovce;Košický
Kamanová;Okres Topoľčany;Nitriansky
Kameňany;Okres Revúca;Banskobystrický
Kamenec pod Vtáčnikom;Okres Prievidza;Trenčiansky
Kamenica;Okres Sabinov;Prešovský
Kamenica nad Cirochou;Okres Humenné;Prešovský
Kamenica nad Hronom;Okres Nové Zámky;Nitriansky
Kameničany;Okres Ilava;Trenčiansky
Kameničná;Okres Komárno;Nitriansky
Kamenín;Okres Nové Zámky;Nitriansky
Kamenná Poruba, okres Vranov nad Topľou;Okres Vranov nad Topľou;Prešovský
Kamenná Poruba, okres Žilina;Okres Žilina;Žilinský
Kamenné Kosihy;Okres Veľký Krtíš;Banskobystrický
Kamenný Most;Okres Nové Zámky;Nitriansky
Kamienka, okres Humenné;Okres Humenné;Prešovský
Kamienka, okres Stará Ľubovňa;Okres Stará Ľubovňa;Prešovský
Kanianka;Okres Prievidza;Trenčiansky
Kapince;Okres Nitra;Nitriansky
Kapišová;Okres Svidník;Prešovský
Kaplna;Okres Senec;Bratislavský
Kapušany;Okres Prešov;Prešovský
Kapušianske Kľačany;Okres Michalovce;Košický
Karlová;Okres Martin;Žilinský
Karná;Okres Humenné;Prešovský
Kašov;Okres Trebišov;Košický
Kátlovce;Okres Trnava;Trnavský
Kátov;Okres Skalica;Trnavský
Kazimír;Okres Trebišov;Košický
Kecerovce;Okres Košice - okolie;Košický
Kecerovský Lipovec;Okres Košice - okolie;Košický
Kečkovce;Okres Svidník;Prešovský
Kečovo;Okres Rožňava;Košický
Kechnec;Okres Košice - okolie;Košický
Kendice;Okres Prešov;Prešovský
Kesovce;Okres Rimavská Sobota;Banskobystrický
Keť;Okres Levice;Nitriansky
Kežmarok;Okres Kežmarok;Prešovský
Kiarov;Okres Veľký Krtíš;Banskobystrický
Kľačany;Okres Hlohovec;Trnavský
Kľače;Okres Žilina;Žilinský
Kľačno;Okres Prievidza;Trenčiansky
Kladzany;Okres Vranov nad Topľou;Prešovský
Kľak;Okres Žarnovica;Banskobystrický
Klasov;Okres Nitra;Nitriansky
Kláštor pod Znievom;Okres Martin;Žilinský
Klátova Nová Ves;Okres Partizánske;Trenčiansky
Klčov;Okres Levoča;Prešovský
Kleňany;Okres Veľký Krtíš;Banskobystrický
Klenov;Okres Prešov;Prešovský
Klenová;Okres Snina;Prešovský
Klenovec;Okres Rimavská Sobota;Banskobystrický
Klieština;Okres Považská Bystrica;Trenčiansky
Klin;Okres Námestovo;Žilinský
Klin nad Bodrogom;Okres Trebišov;Košický
Klížska Nemá;Okres Komárno;Nitriansky
Klokoč;Okres Detva;Banskobystrický
Klokočov, okres Čadca;Okres Čadca;Žilinský
Klokočov, okres Michalovce;Okres Michalovce;Košický
Klubina;Okres Čadca;Žilinský
Kľúčovec;Okres Dunajská Streda;Trnavský
Kluknava;Okres Gelnica;Košický
Kľušov;Okres Bardejov;Prešovský
Kmeťovo;Okres Nové Zámky;Nitriansky
Kobeliarovo;Okres Rožňava;Košický
Kobylnice;Okres Svidník;Prešovský
Kobyly;Okres Bardejov;Prešovský
Koceľovce;Okres Rožňava;Košický
Kociha;Okres Rimavská Sobota;Banskobystrický
Kocurany;Okres Prievidza;Trenčiansky
Kočín-Lančár;Okres Piešťany;Trnavský
Kočovce;Okres Nové Mesto nad Váhom;Trenčiansky
Kochanovce, okres Bardejov;Okres Bardejov;Prešovský
Kochanovce, okres Humenné;Okres Humenné;Prešovský
Kojatice;Okres Prešov;Prešovský
Kojšov;Okres Gelnica;Košický
Kokava nad Rimavicou;Okres Poltár;Banskobystrický
Kokošovce;Okres Prešov;Prešovský
Kokšov-Bakša;Okres Košice - okolie;Košický
Kolačkov;Okres Stará Ľubovňa;Prešovský
Kolačno;Okres Partizánske;Trenčiansky
Koláre;Okres Veľký Krtíš;Banskobystrický
Kolárovice;Okres Bytča;Žilinský
Kolárovo;Okres Komárno;Nitriansky
Kolbasov;Okres Snina;Prešovský
Kolbovce;Okres Stropkov;Prešovský
Kolibabovce;Okres Sobrance;Košický
Kolíňany;Okres Nitra;Nitriansky
Kolinovce;Okres Spišská Nová Ves;Košický
Kolonica;Okres Snina;Prešovský
Kolta;Okres Nové Zámky;Nitriansky
Komárany;Okres Vranov nad Topľou;Prešovský
Komárno;Okres Komárno;Nitriansky
Komárov;Okres Bardejov;Prešovský
Komárovce;Okres Košice - okolie;Košický
Komjatice;Okres Nové Zámky;Nitriansky
Komjatná;Okres Ružomberok;Žilinský
Komoča;Okres Nové Zámky;Nitriansky
Koniarovce;Okres Topoľčany;Nitriansky
Konrádovce;Okres Rimavská Sobota;Banskobystrický
Konská, okres Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Konská, okres Žilina;Okres Žilina;Žilinský
Koňuš;Okres Sobrance;Košický
Kopčany;Okres Skalica;Trnavský
Kopernica;Okres Žiar nad Hronom;Banskobystrický
Koplotovce;Okres Hlohovec;Trnavský
Koprivnica;Okres Bardejov;Prešovský
Kordíky;Okres Banská Bystrica;Banskobystrický
Korejovce;Okres Svidník;Prešovský
Korňa;Okres Čadca;Žilinský
Koromľa;Okres Sobrance;Košický
Korunková;Okres Stropkov;Prešovský
Korytárky;Okres Detva;Banskobystrický
Korytné;Okres Levoča;Prešovský
Kosihovce;Okres Veľký Krtíš;Banskobystrický
Kosihy nad Ipľom;Okres Veľký Krtíš;Banskobystrický
Kosorín;Okres Žiar nad Hronom;Banskobystrický
Kostoľany nad Hornádom;Okres Košice - okolie;Košický
Kostoľany pod Tribečom;Okres Zlaté Moravce;Nitriansky
Kostolec;Okres Považská Bystrica;Trenčiansky
Kostolište;Okres Malacky;Bratislavský
Kostolná pri Dunaji;Okres Senec;Bratislavský
Kostolná Ves;Okres Prievidza;Trenčiansky
Kostolná-Záriečie;Okres Trenčín;Trenčiansky
Kostolné;Okres Myjava;Trenčiansky
Kostolné Kračany;Okres Dunajská Streda;Trnavský
Koš;Okres Prievidza;Trenčiansky
Košariská;Okres Myjava;Trenčiansky
Košarovce;Okres Humenné;Prešovský
Košeca;Okres Ilava;Trenčiansky
Košecké Podhradie;Okres Ilava;Trenčiansky
Košice - mestská časť Barca;Okres Košice IV;Košický
Košice - mestská časť Dargovských hrdinov;Okres Košice III;Košický
Košice - mestská časť Džungľa;Okres Košice I;Košický
Košice - mestská časť Juh;Okres Košice IV;Košický
Košice - mestská časť Kavečany;Okres Košice I;Košický
Košice - mestská časť Košická Nová Ves;Okres Košice III;Košický
Košice - mestská časť Krásna;Okres Košice IV;Košický
Košice - mestská časť Lorinčík;Okres Košice II;Košický
Košice - mestská časť Luník IX;Okres Košice II;Košický
Košice - mestská časť Myslava;Okres Košice II;Košický
Košice - mestská časť Nad jazerom;Okres Košice IV;Košický
Košice - mestská časť Pereš;Okres Košice II;Košický
Košice - mestská časť Poľov;Okres Košice II;Košický
Košice - mestská časť Sever;Okres Košice I;Košický
Košice - mestská časť Sídlisko KVP;Okres Košice II;Košický
Košice - mestská časť Sídlisko Ťahanovce;Okres Košice I;Košický
Košice - mestská časť Staré Mesto;Okres Košice I;Košický
Košice - mestská časť Šaca;Okres Košice II;Košický
Košice - mestská časť Šebastovce;Okres Košice IV;Košický
Košice - mestská časť Ťahanovce;Okres Košice I;Košický
Košice - mestská časť Vyšné Opátske;Okres Košice IV;Košický
Košice - mestská časť Západ;Okres Košice II;Košický
Košická Belá;Okres Košice - okolie;Košický
Košická Polianka;Okres Košice - okolie;Košický
Košické Oľšany;Okres Košice - okolie;Košický
Košický Klečenov;Okres Košice - okolie;Košický
Koškovce;Okres Humenné;Prešovský
Košolná;Okres Trnava;Trnavský
Košťany nad Turcom;Okres Martin;Žilinský
Košúty;Okres Galanta;Trnavský
Kotešová;Okres Bytča;Žilinský
Kotmanová;Okres Lučenec;Banskobystrický
Kotrčiná Lúčka;Okres Žilina;Žilinský
Kováčová, okres Rožňava;Okres Rožňava;Košický
Kováčová, okres Zvolen;Okres Zvolen;Banskobystrický
Kováčovce;Okres Veľký Krtíš;Banskobystrický
Koválov;Okres Senica;Trnavský
Koválovec;Okres Skalica;Trnavský
Kovarce;Okres Topoľčany;Nitriansky
Kozárovce;Okres Levice;Nitriansky
Kozelník;Okres Banská Štiavnica;Banskobystrický
Kozí Vrbovok;Okres Krupina;Banskobystrický
Kožany;Okres Bardejov;Prešovský
Kožuchov;Okres Trebišov;Košický
Kožuchovce;Okres Stropkov;Prešovský
Kračúnovce;Okres Svidník;Prešovský
Krahule;Okres Žiar nad Hronom;Banskobystrický
Krajná Bystrá;Okres Svidník;Prešovský
Krajná Poľana;Okres Svidník;Prešovský
Krajná Porúbka;Okres Svidník;Prešovský
Krajné;Okres Myjava;Trenčiansky
Krajné Čierno;Okres Svidník;Prešovský
Krakovany;Okres Piešťany;Trnavský
Kráľ;Okres Rimavská Sobota;Banskobystrický
Králiky;Okres Banská Bystrica;Banskobystrický
Kráľov Brod;Okres Galanta;Trnavský
Kráľova Lehota;Okres Liptovský Mikuláš;Žilinský
Kráľová nad Váhom;Okres Šaľa;Nitriansky
Kráľová pri Senci;Okres Senec;Bratislavský
Kraľovany;Okres Dolný Kubín;Žilinský
Kráľovce;Okres Košice - okolie;Košický
Kráľovce-Krnišov;Okres Krupina;Banskobystrický
Kráľovičove Kračany;Okres Dunajská Streda;Trnavský
Kráľovský Chlmec;Okres Trebišov;Košický
Kraskovo;Okres Rimavská Sobota;Banskobystrický
Krásna Lúka;Okres Sabinov;Prešovský
Krásna Ves;Okres Bánovce nad Bebravou;Trenčiansky
Krasňany;Okres Žilina;Žilinský
Krásno;Okres Partizánske;Trenčiansky
Krásno nad Kysucou;Okres Čadca;Žilinský
Krásnohorská Dlhá Lúka;Okres Rožňava;Košický
Krásnohorské Podhradie;Okres Rožňava;Košický
Krásnovce;Okres Michalovce;Košický
Krásny Brod;Okres Medzilaborce;Prešovský
Kravany nad Dunajom;Okres Komárno;Nitriansky
Kravany, okres Poprad;Okres Poprad;Prešovský
Kravany, okres Trebišov;Okres Trebišov;Košický
